"Year","Number.oftropical.storms","Number.ofhurricanes","Number.ofmajor.hurricanes","ACE","Deaths","DamageUSD","Strongeststorm","Retired.names","Notes"
"1","1970",11,5,2,40.18,"71","$454 million","Celia","Celia","First season of a 24-year period of decreased activity in the Atlantic (-AMO)"
"2","1971",13,6,1,96.53,"45","$213 million","Edith","None","Includes first documented Hurricane to cross Central America, Irene"
"3","1972",7,3,0,35.61,"122","$2.1 billion","Betty","Agnes","Includes three subtropical stormsNo major hurricanes"
"4","1973",8,4,1,47.85,"15","$18 million","Ellen","None","Includes one subtropical storm"
"5","1974",11,4,2,68.13,"8,260+","$1.97 billion","Carmen","Carmen, Fifi","Includes four subtropical storms Fifi was the fourth deadliest hurricane on record"
"6","1975",9,6,3,76.06,"80","$100 million","Gladys","Eloise","Includes one subtropical storm"
"7","1976",10,6,2,84.17,"72","$100 million","Belle","None","Includes two subtropical storms"
"8","1977",6,5,1,25.32,"10","$10 million","Anita","Anita","Features the strongest Atlantic hurricane to strike Mexico."
"9","1978",12,5,2,63.22,"37","$45 million","Greta","Greta","Includes the January subtropical storm in the Atlantic"
"10","1979",9,5,2,92.92,"2,118","$4.3 billion","David","David, Frederic","First year for alternating male/female names.Includes one subtropical storm of Category One strength."
"11","Total",96,49,16,NA,"10,830+","$9.31 billion","","9 names",""
