"Year","Number.oftropicalstorms","Number.ofhurricanes","Number.ofmajor.hurricanes","ACE","Deaths","DamageUSD","Strongeststorm","Major.landfall.hurricanes","Notes"
"1",1900,7,3,2,83.35,"8,000+","$60 million","\"Galveston\"","• Great Galveston Hurricane of 1900 (cat 4)","The Galveston hurricane was the deadliest disaster in the United States."
"2",1901,12,5,1,98.98,"10","$1 million","Seven","",""
"3",1902,5,3,0,32.65,"None","Unknown","Four","",""
"4",1903,10,7,1,102.07,"228","$1.15 million","Two","• Jamaica Hurricane of 1903 (cat 3)",""
"5",1904,5,3,0,30.35,"87","$1 million","Two","",""
"6",1905,5,1,1,28.38,"1","Unknown","Four","",""
"7",1906,11,6,3,162.88,"367","$2.48 million","Four","• Mississippi Hurricane of 1906 (cat 3)  • Florida Keys Hurricane of 1906 (cat 3)",""
"8",1907,5,0,0,13.06,"None","Unknown","One","","One of two seasons with no recorded hurricanes, with the other being 1914."
"9",1908,10,6,1,95.11,"None","Unknown","Six","","Includes the only known March tropical cyclone in the basin"
"10",1909,11,6,4,93.34,"4,614","$75 million","\"Grand Isle\"","• 1909 Velasco hurricane (cat 3)  • 1909 Monterrey hurricane (cat 3)  • 1909 Grand Isle hurricane (cat 3)  • 1909 Key West Hurricane (cat 3)  • 1909 Greater Antilles hurricane (cat 2)","3 major hurricanes made landfall this year"
