"player_name","state","Pts","Pre_Rating","Avg_opp_score"
" GARY HUA                        ","   ON ",6,1794,1605.3
" DAKSHESH DARURI                 ","   MI ",6,1553,1469.3
" ADITYA BAJAJ                    ","   MI ",6,1384,1563.6
" PATRICK H SCHILLING             ","   MI ",5.5,1716,1573.6
" HANSHI ZUO                      ","   MI ",5.5,1655,1500.9
" HANSEN SONG                     ","   OH ",5,1686,1518.7
" GARY DEE SWATHELL               ","   MI ",5,1649,1372.1
" EZEKIEL HOUGHTON                ","   MI ",5,1641,1468.4
" STEFANO LEE                     ","   ON ",5,1411,1523.1
" ANVIT RAO                       ","   MI ",5,1365,1554.1
" CAMERON WILLIAM MC LEMAN        ","   MI ",4.5,1712,1467.6
" KENNETH J TACK                  ","   MI ",4.5,1663,1506.2
" TORRANCE HENRY JR               ","   MI ",4.5,1666,1497.9
" BRADLEY SHAW                    ","   MI ",4.5,1610,1515
" ZACHARY JAMES HOUGHTON          ","   MI ",4.5,1220,1483.9
" MIKE NIKITIN                    ","   MI ",4,1604,1385.8
" RONALD GRZEGORCZYK              ","   MI ",4,1629,1498.6
" DAVID SUNDEEN                   ","   MI ",4,1600,1480
" DIPANKAR ROY                    ","   MI ",4,1564,1426.3
" JASON ZHENG                     ","   MI ",4,1595,1410.9
" DINH DANG BUI                   ","   ON ",4,1563,1470.4
" EUGENE L MCCLURE                ","   MI ",4,1555,1300.3
" ALAN BUI                        ","   ON ",4,1363,1213.9
" MICHAEL R ALDRICH               ","   MI ",4,1229,1357
" LOREN SCHWIEBERT                ","   MI ",3.5,1745,1363.3
" MAX ZHU                         ","   ON ",3.5,1579,1506.9
" GAURAV GIDWANI                  ","   MI ",3.5,1552,1221.7
" SOFIA ADINA STANESCU-BELLU      ","   MI ",3.5,1507,1522.1
" CHIEDOZIE OKORIE                ","   MI ",3.5,1602,1313.5
" GEORGE AVERY JONES              ","   ON ",3.5,1522,1144.1
" RISHI SHETTY                    ","   MI ",3.5,1494,1259.9
" JOSHUA PHILIP MATHEWS           ","   ON ",3.5,1441,1378.7
" JADE GE                         ","   MI ",3.5,1449,1276.9
" MICHAEL JEFFERY THOMAS          ","   MI ",3.5,1399,1375.3
" JOSHUA DAVID LEE                ","   MI ",3.5,1438,1149.7
" SIDDHARTH JHA                   ","   MI ",3.5,1355,1388.2
" AMIYATOSH PWNANANDAM            ","   MI ",3.5,980,1384.8
" BRIAN LIU                       ","   MI ",3,1423,1539.2
" JOEL R HENDON                   ","   MI ",3,1436,1429.6
" FOREST ZHANG                    ","   MI ",3,1348,1390.6
" KYLE WILLIAM MURPHY             ","   MI ",3,1403,1248.5
" JARED GE                        ","   MI ",3,1332,1149.9
" ROBERT GLEN VASEY               ","   MI ",3,1283,1106.6
" JUSTIN D SCHILLING              ","   MI ",3,1199,1327
" DEREK YAN                       ","   MI ",3,1242,1152
" JACOB ALEXANDER LAVALLEY        ","   MI ",3,377,1357.7
" ERIC WRIGHT                     ","   MI ",2.5,1362,1392
" DANIEL KHAIN                    ","   MI ",2.5,1382,1355.8
" MICHAEL J MARTIN                ","   MI ",2.5,1291,1285.8
" SHIVAM JHA                      ","   MI ",2.5,1056,1296
" TEJAS AYYAGARI                  ","   MI ",2.5,1011,1356.1
" ETHAN GUO                       ","   MI ",2.5,935,1494.6
" JOSE C YBARRA                   ","   MI ",2,1393,1345.3
" LARRY HODGE                     ","   MI ",2,1270,1206.2
" ALEX KONG                       ","   MI ",2,1186,1406
" MARISA RICCI                    ","   MI ",2,1153,1414.4
" MICHAEL LU                      ","   MI ",2,1092,1363
" VIRAJ MOHILE                    ","   MI ",2,917,1391
" SEAN M MC CORMICK               ","   MI ",2,853,1319
" JULIA SHEN                      ","   MI ",1.5,967,1330.2
" JEZZEL FARKAS                   ","   ON ",1.5,955,1327.3
" ASHWIN BALAJI                   ","   MI ",1,1530,1186
" THOMAS JOSEPH HOSMER            ","   MI ",1,1175,1350.2
" BEN LI                          ","   MI ",1,1163,1263
