"","Job_Title","Company","Location","Links"
"1",NA,NA,NA,NA
"2","Analytics Specialist, Data Science","Delta","Atlanta, GA","/rc/clk?jk=850a0c02cdda19d0&fccid=3f721eb1d31080a6&vjs=3"
"3","Data Scientist","Jabo Industries","Atlanta, GA 30305 (Peachtree Hills area)","/company/Jabo-Industries/jobs/Data-Scientist-3fc33cc34e94264d?fccid=002a5625d2a02ad0&vjs=3"
"4","Data Scientist Sr","Anthem","Atlanta, GA","/rc/clk?jk=be2b3bca63534f35&fccid=2a4da7fa99f4b9ae&vjs=3"
"5","Data Scientist","RELX Group","Alpharetta, GA","/rc/clk?jk=0eb46fa45aecb221&fccid=06206ab329e0eb22&vjs=3"
"6","Data Analyst/Data Scientist","Vanderlande Industries","Atlanta, GA","/rc/clk?jk=ece2f06740a3741b&fccid=9b9f0bf4b54e4b3d&vjs=3"
"7","Intern - Data Science, Marketing Analytics (10 weeks)","McKinsey & Company","Atlanta, GA","/rc/clk?jk=70a071b8ad29b8ca&fccid=6576e7250aa78c3c&vjs=3"
"8","Data Scientist w/Python and/or Palantir REMOTE","Shine Systems","Atlanta, GA 30319","/rc/clk?jk=949f0cbff3bd1730&fccid=71a3b3db8c603fbd&vjs=3"
"9","Strategy, Data Specialist","Delta","Atlanta, GA","/rc/clk?jk=11763460d82e6675&fccid=3f721eb1d31080a6&vjs=3"
"10","Senior Data Scientist","MATRIX Resources","Atlanta, GA","/company/Thompson-Technologies/jobs/Senior-Data-Scientist-7f1ca8b94efad5e9?fccid=ea032dcf31d77250&vjs=3"
"11","Data Scientist- Cloud Pak for Security","IBM","Sandy Springs, GA 30328","/rc/clk?jk=188c2c94b3adff8d&fccid=de71a49b535e21cb&vjs=3"
"12","Data Scientist – Fundamental Fixed Income Associate","BlackRock","Atlanta, GA","/rc/clk?jk=8dda4f91938d70d8&fccid=58c732f14833248a&vjs=3"
"13","Data Scientist","Codoxo","Atlanta, GA","/rc/clk?jk=6313e0104d6825c0&fccid=88df7112804301b7&vjs=3"
"14","Data Scientist, Customer Experience","Honeywell","Atlanta, GA 30308 (Midtown area)","/rc/clk?jk=f3c1307916749763&fccid=50208b5bf45ee3b8&vjs=3"
"15","Data Scientist","Renew Financial","Alpharetta, GA","/rc/clk?jk=fb19a862230ab3d2&fccid=17ca76175e4920db&vjs=3"
"16","Advanced Data Scientist","Honeywell","Atlanta, GA 30308 (Midtown area)","/rc/clk?jk=f49221ac02d7ed3d&fccid=50208b5bf45ee3b8&vjs=3"
"17","Data Scientist, Operations Decision Science","Delta","Atlanta, GA","/rc/clk?jk=1cb59dd5ec8baf28&fccid=3f721eb1d31080a6&vjs=3"
